school_id,school_x,school_y
101915,34.96650838,32.76514062
101931,34.97034303,32.75980075
101949,34.96669053,32.76487045
101956,34.97034303,32.75980075
101964,34.96799597,32.76357447
101972,34.96799597,32.76357447
101980,34.9697715,32.76612963
101998,34.9675736,32.76590007
102004,34.9713722,32.75799926
102012,34.97509266,32.75950296
102020,34.9713722,32.75799926
102038,34.96778716,32.76585538
102046,34.969296,32.76025866
102061,34.97765093,32.83212131
102087,34.96993137,32.82313524
102095,35.0119557,32.772793
102103,35.01408548,32.78509545
102111,35.00511969,32.77511771
102129,35.00820569,32.79393205
102137,35.02124052,32.78361832
102145,35.01249973,32.77790648
102152,35.00461235,32.78720871
102160,35.0119557,32.772793
102178,34.99580473,32.80127887
102186,34.99893793,32.7898415
102202,34.97972452,32.80179205
102228,34.96550629,32.78070206
102236,35.00782268,32.79333632
102244,34.98054469,32.79830395
102269,34.97294542,32.79746057
102285,34.99301104,32.77721685
102293,34.99375837,32.78167251
102301,35.00919705,32.79460987
102327,35.00314232,32.77161595
102335,34.98930543,32.80900442
102350,34.99066779,32.797447
102384,34.9726688,32.82998419
102426,34.97093403,32.81134296
102434,34.97093403,32.81134296
102442,34.99364734,32.78801127
102459,34.99364734,32.78801127
102467,34.99375837,32.78167251
102509,34.9674418,32.81961395
102517,34.97588385,32.8131645
102525,34.99066779,32.797447
102541,35.01213488,32.79368567
102558,34.95836117,32.82094896
102582,34.99580473,32.80127887
102590,34.95828134,32.80730617
102608,35.00461235,32.78720871
102624,34.97972452,32.80179205
102632,34.99156998,32.78622239
102657,34.97588385,32.8131645
102665,34.97219793,32.79752231
102673,34.97978982,32.82251312
102699,34.96892508,32.81192529
102715,35.07606165,32.74109002
102723,35.09299082,32.75220624
102731,35.1141916,32.7964248
102749,35.11254271,32.7906978
102764,35.1138763,32.75992365
102780,35.1138763,32.75992365
102814,35.10077045,32.7424294
102830,34.96552357,32.82212603
102848,35.07171082,32.82576425
102889,34.95706787,32.81366073
102905,34.97765093,32.83212131
102939,35.06668118,32.81858132
102947,34.99004744,32.80681457
102954,34.98629513,32.7868445
102962,34.98629513,32.7868445
102970,35.01767156,32.79559663
102988,34.99004744,32.80681457
102996,34.98644665,32.79037041
103028,35.00968497,32.79606236
103036,34.9850596,32.78572424
103044,34.99891293,32.7775062
103051,35.00461235,32.78720871
103069,35.00461235,32.78720871
103077,34.98469015,32.77969122
103085,35.00832934,32.76678204
103127,34.96996303,32.82327957
103135,34.98930543,32.80900442
103143,34.98054469,32.79830395
103176,34.99072261,32.77899834
103184,34.95583219,32.81642648
103192,34.97524909,32.82749125
103200,34.97524909,32.82749125
103259,34.95644426,32.81520139
103267,34.96088035,32.82524595
103275,34.96328415,32.82094953
103283,35.01033731,32.78081564
103291,35.05411171,32.83166848
103309,35.01295587,32.78918745
103317,34.9850596,32.78572424
103325,34.96196483,32.80736746
103341,35.06935177,32.83912483
103358,35.0709336,32.83844125
103366,35.01295587,32.78918745
103382,35.01944167,32.78629373
103390,35.05375711,32.83293944
103408,35.06656368,32.81860824
103416,35.06605994,32.83355779
103424,34.99963181,32.80380994
103440,34.98507038,32.78567917
103457,35.06554858,32.83272766
103465,34.98808354,32.81533222
103473,34.9632387,32.81800992
103481,35.00055931,32.80441559
103499,35.01032051,32.7983717
103549,35.00845705,32.80101077
103556,34.99156998,32.78622239
103564,35.01730835,32.7906097
103580,35.06605994,32.83355779
103598,35.01121752,32.79334161
103606,34.99301104,32.77721685
103614,34.98624308,32.82125315
103622,34.98143462,32.8224259
103630,34.97524909,32.82749125
103648,35.0122605,32.78988069
103655,35.00820569,32.79393205
103663,34.98507038,32.78567917
103689,34.9605672,32.806968
103721,35.00742919,32.79265041
103739,35.02124052,32.78361832
103754,35.00461235,32.78720871
103762,34.99587701,32.78403851
103770,34.98644665,32.79037041
103788,34.95839951,32.81479047
103796,35.00820569,32.79393205
103820,35.00820569,32.79393205
103838,34.96552357,32.82212603
103861,34.92233409,32.42929183
103879,34.94888502,32.41741835
103895,34.95618897,32.41727966
103911,34.94906251,32.41479462
103945,34.92566243,32.43608039
103952,34.915222,32.43895145
103960,34.95618897,32.41727966
103986,34.915222,32.43895145
104000,34.91568356,32.43426343
104018,34.91800093,32.4344671
104026,34.92016815,32.44185732
104034,34.90561223,32.447703
104042,34.92676966,32.43563196
104091,34.90441193,32.44727633
104109,34.88421519,32.43872312
104133,34.88284773,32.44051411
104158,34.90561223,32.447703
104166,34.90449282,32.43890832
104190,34.94816763,32.42674099
104240,34.92687194,32.44389219
104257,34.92687194,32.44389219
104265,34.91624381,32.44198366
104273,34.91624381,32.44198366
104281,34.91786119,32.43494471
104299,34.91786119,32.43494471
104307,34.95618897,32.41727966
104315,34.91786119,32.43494471
104380,34.88390392,32.44254573
104398,34.90053441,32.45238894
104406,34.90440163,32.44075668
104414,34.9495475,32.42378605
104422,34.91724059,32.42946067
104430,34.92581642,32.44478259
104448,34.95603644,32.56571488
104463,34.9523215,32.57662742
104489,34.94995413,32.57018431
